"","day","month","year","venue","ext","date","location","city","country","state","region","lat","lon","n","fixedc","standardc","fixedp","fixedfinal","noplace","fixedfinal2"
"1","9","Jul","1995","Soldier Field, Chicago, IL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/soldier-field-chicago-il-3bd600ec.html",1995-07-09,"Soldier Field","Chicago","USA","IL","Midwest",41.8623132,-87.6166884,18,0.0257373127304102,1.69331333792809e-45,0.0257373127304102,4.96981764535136,0.00662878787878788,5.17708529328128
"2","8","Jul","1995","Soldier Field, Chicago, IL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/soldier-field-chicago-il-1bd6bde8.html",1995-07-08,"Soldier Field","Chicago","USA","IL","Midwest",41.8623132,-87.6166884,19,0.0293119394985228,3.14435623470073e-44,0.0293119394985228,4.85958974080611,0.00754945286195286,5.04012933252186
"3","6","Jul","1995","Riverport Amphitheatre, Maryland Heights, MO, USA","http://www.setlist.fm/setlist/grateful-dead/1995/riverport-amphitheatre-maryland-heights-mo-33d600ed.html",1995-07-06,"Riverport Amphitheatre","Maryland Heights","USA","MO","Midwest",38.7444212,-90.4695982,18,0.0114388056579601,6.01028140172526e-44,0.0114388056579601,5.65713012810354,0.00662878787878788,5.17708529328128
"4","5","Jul","1995","Riverport Amphitheatre, Maryland Heights, MO, USA","http://www.setlist.fm/setlist/grateful-dead/1995/riverport-amphitheatre-maryland-heights-mo-13d6bde9.html",1995-07-05,"Riverport Amphitheatre","Maryland Heights","USA","MO","Midwest",38.7444212,-90.4695982,17,0.00603714743059005,6.71004187558316e-41,0.00603714743059005,6.19878910777012,0.00349852693602694,5.85008571246051
"5","2","Jul","1995","Deer Creek Music Center, Noblesville, IN, USA","http://www.setlist.fm/setlist/grateful-dead/1995/deer-creek-music-center-noblesville-in-bd6bdea.html",1995-07-02,"Deer Creek Music Center","Noblesville","USA","IN","Midwest",40.0049625,-85.9310751,18,0.0400358198028604,2.3668311636687e-45,0.0400358198028604,4.59533762246228,0.00662878787878788,5.17708529328128
"6","30","Jun","1995","Three Rivers Stadium, Pittsburgh, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/three-rivers-stadium-pittsburgh-pa-3d6bdeb.html",1995-06-30,"Three Rivers Stadium","Pittsburgh","USA","PA","Northeast",40.4467567,-80.0129378,17,0.00301857371529503,5.88192191875423e-44,0.00301857371529503,6.78627333274595,0.00349852693602694,5.85008571246051
"7","28","Jun","1995","The Palace of Auburn Hills, Auburn Hills, MI, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-palace-of-auburn-hills-auburn-hills-mi-23d600ef.html",1995-06-28,"The Palace of Auburn Hills","Auburn Hills","USA","MI","Midwest",42.6985291,-83.2425554,18,0.0228776113159202,6.98729560888586e-43,0.0228776113159202,5.06964590312771,0.00662878787878788,5.17708529328128
"8","27","Jun","1995","The Palace of Auburn Hills, Auburn Hills, MI, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-palace-of-auburn-hills-auburn-hills-mi-3bd600e8.html",1995-06-27,"The Palace of Auburn Hills","Auburn Hills","USA","MI","Midwest",42.6985291,-83.2425554,19,0.0260550573320202,1.20839249425066e-47,0.0260550573320202,4.95941799858246,0.00754945286195286,5.04012933252186
"9","25","Jun","1995","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/rfk-stadium-washington-dc-33d600e9.html",1995-06-25,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,19,0.0488532324975379,2.69103047123555e-46,0.0488532324975379,4.42663407988352,0.00754945286195286,5.04012933252186
"10","24","Jun","1995","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/rfk-stadium-washington-dc-13d6bdf5.html",1995-06-24,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,17,0.0226393028647127,4.82042815098287e-41,0.0226393028647127,5.07852096409537,0.00349852693602694,5.85008571246051
"11","22","Jun","1995","Knickerbocker Arena, Albany, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1995/knickerbocker-arena-albany-ny-2bd600ea.html",1995-06-22,"Knickerbocker Arena","Albany","USA","NY","Northeast",42.6485495,-73.7547501,18,0.0371761183883703,4.81880730141008e-43,0.0371761183883703,4.65814861817331,0.00662878787878788,5.17708529328128
"12","21","Jun","1995","Knickerbocker Arena, Albany, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1995/knickerbocker-arena-albany-ny-3d6bdf7.html",1995-06-21,"Knickerbocker Arena","Albany","USA","NY","Northeast",42.6485495,-73.7547501,16,0.0101791752730062,7.66929182585805e-40,0.0101791752730062,5.75601297520967,0.00181502525252525,6.54115973905564
"13","19","Jun","1995","Giants Stadium, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1995/giants-stadium-east-rutherford-nj-23d600eb.html",1995-06-19,"Giants Stadium","East Rutherford","USA","NJ","Northeast",40.8128397,-74.0742091,20,0.0398769475020554,3.37846101184875e-48,0.0398769475020554,4.59870764908104,0.00660248316498317,5.18127248376867
"14","18","Jun","1995","Giants Stadium, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1995/giants-stadium-east-rutherford-nj-3bd600f4.html",1995-06-18,"Giants Stadium","East Rutherford","USA","NJ","Northeast",40.8128397,-74.0742091,18,0.0400358198028604,2.01805485536729e-41,0.0400358198028604,4.59533762246228,0.00662878787878788,5.17708529328128
"15","15","Jun","1995","Franklin County Airport Field, Highgate, VT, USA","http://www.setlist.fm/setlist/grateful-dead/1995/franklin-county-airport-field-highgate-vt-1bd6bdf0.html",1995-06-15,"Franklin County Airport Field","Highgate","USA","VT","Northeast",44.938362,-73.095146,20,0.00569670678600791,2.10685693028311e-50,0.00569670678600791,6.24798437969812,0.00660248316498317,5.18127248376867
"16","4","Jun","1995","Shoreline Amphitheatre, Mountain View, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/shoreline-amphitheatre-mountain-view-ca-33d600f5.html",1995-06-04,"Shoreline Amphitheatre","Mountain View","USA","CA","West",37.4268449,-122.0807694,19,0.127018404493599,2.09588382811498e-44,0.127018404493599,3.61678024727614,0.00754945286195286,5.04012933252186
"17","3","Jun","1995","Shoreline Amphitheatre, Mountain View, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/shoreline-amphitheatre-mountain-view-ca-2bd600f6.html",1995-06-03,"Shoreline Amphitheatre","Mountain View","USA","CA","West",37.4268449,-122.0807694,19,0.127018404493599,6.00696219045809e-43,0.127018404493599,3.61678024727614,0.00754945286195286,5.04012933252186
"18","2","Jun","1995","Shoreline Amphitheatre, Mountain View, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/shoreline-amphitheatre-mountain-view-ca-bd6bdf2.html",1995-06-02,"Shoreline Amphitheatre","Mountain View","USA","CA","West",37.4268449,-122.0807694,19,0.127018404493599,1.42900186510728e-45,0.127018404493599,3.61678024727614,0.00754945286195286,5.04012933252186
"19","29","May","1995","Portland Meadows, Portland, OR, USA","http://www.setlist.fm/setlist/grateful-dead/1995/portland-meadows-portland-or-23d600f7.html",1995-05-29,"Portland Meadows","Portland","USA","OR","West",45.5905502,-122.6762548,18,0.00571940282898005,1.28387636387152e-44,0.00571940282898005,6.24461435307936,0.00662878787878788,5.17708529328128
"20","28","May","1995","Portland Meadows, Portland, OR, USA","http://www.setlist.fm/setlist/grateful-dead/1995/portland-meadows-portland-or-3d6bdf3.html",1995-05-28,"Portland Meadows","Portland","USA","OR","West",45.5905502,-122.6762548,17,0.00301857371529503,7.83809783672528e-40,0.00301857371529503,6.78627333274595,0.00349852693602694,5.85008571246051
"21","26","May","1995","Memorial Stadium, Seattle, WA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/memorial-stadium-seattle-wa-3bd600f0.html",1995-05-26,"Memorial Stadium","Seattle","USA","WA","West",47.6228051,-122.3495214,17,0.00754643428823757,5.79393069071377e-41,0.00754643428823757,6.00966143044728,0.00349852693602694,5.85008571246051
"22","25","May","1995","Memorial Stadium, Seattle, WA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/memorial-stadium-seattle-wa-33d600f1.html",1995-05-25,"Memorial Stadium","Seattle","USA","WA","West",47.6228051,-122.3495214,17,0.00754643428823757,1.29261999788694e-39,0.00754643428823757,6.00966143044728,0.00349852693602694,5.85008571246051
"23","24","May","1995","Memorial Stadium, Seattle, WA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/memorial-stadium-seattle-wa-1bd6bdfc.html",1995-05-24,"Memorial Stadium","Seattle","USA","WA","West",47.6228051,-122.3495214,17,0.00754643428823757,2.94165977594817e-39,0.00754643428823757,6.00966143044728,0.00349852693602694,5.85008571246051
"24","21","May","1995","Sam Boyd Stadium, Las Vegas, NV, USA","http://www.setlist.fm/setlist/grateful-dead/1995/sam-boyd-stadium-las-vegas-nv-2bd600f2.html",1995-05-21,"Sam Boyd Stadium","Las Vegas","USA","NV","West",36.085935,-115.01731,17,0.00905572114588508,3.95422022546966e-41,0.00905572114588508,5.85513286639404,0.00349852693602694,5.85008571246051
"25","20","May","1995","Sam Boyd Stadium, Las Vegas, NV, USA","http://www.setlist.fm/setlist/grateful-dead/1995/sam-boyd-stadium-las-vegas-nv-23d600f3.html",1995-05-20,"Sam Boyd Stadium","Las Vegas","USA","NV","West",36.085935,-115.01731,17,0.00905572114588508,2.03432373514424e-41,0.00905572114588508,5.85513286639404,0.00349852693602694,5.85008571246051
"26","19","May","1995","Sam Boyd Stadium, Las Vegas, NV, USA","http://www.setlist.fm/setlist/grateful-dead/1995/sam-boyd-stadium-las-vegas-nv-13d6bdfd.html",1995-05-19,"Sam Boyd Stadium","Las Vegas","USA","NV","West",36.085935,-115.01731,16,0.00469808089523361,1.37247845711644e-39,0.00469808089523361,6.41133824376381,0.00181502525252525,6.54115973905564
"27","7","Apr","1995","Tampa Stadium, Tampa, FL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/tampa-stadium-tampa-fl-bd6bdfe.html",1995-04-07,"Tampa Stadium","Tampa","USA","FL","South",27.9876348,-82.5069419,18,0.00285970141449003,8.83614816471166e-46,0.00285970141449003,6.83209857805519,0.00662878787878788,5.17708529328128
"28","5","Apr","1995","Birmingham-Jefferson Civic Center Coliseum, Birmingham, AL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/birmingham-jefferson-civic-center-coliseum-birmingham-al-3bd600fc.html",1995-04-05,"Birmingham-Jefferson Civic Center Coliseum","Birmingham","USA","AL","South",33.5238291,-86.8128395,18,0.00571940282898005,1.16419122353641e-44,0.00571940282898005,6.24461435307936,0.00662878787878788,5.17708529328128
"29","4","Apr","1995","Birmingham-Jefferson Civic Center Coliseum, Birmingham, AL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/birmingham-jefferson-civic-center-coliseum-birmingham-al-3d6bdff.html",1995-04-04,"Birmingham-Jefferson Civic Center Coliseum","Birmingham","USA","AL","South",33.5238291,-86.8128395,16,0.00156602696507787,2.86846905335945e-38,0.00156602696507787,7.34247871011572,0.00181502525252529,6.54115973905562
"30","2","Apr","1995","The Pyramid Arena, Memphis, TN, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-pyramid-arena-memphis-tn-33d600fd.html",1995-04-02,"The Pyramid Arena","Memphis","USA","TN","South",35.1562576,-90.0517623,16,0.00156602696507787,2.84729773978035e-40,0.00156602696507787,7.34247871011572,0.00181502525252525,6.54115973905564
"31","1","Apr","1995","The Pyramid Arena, Memphis, TN, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-pyramid-arena-memphis-tn-1bd6bdf8.html",1995-04-01,"The Pyramid Arena","Memphis","USA","TN","South",35.1562576,-90.0517623,17,0.00301857371529503,1.16661614112045e-43,0.00301857371529503,6.78627333274595,0.00349852693602694,5.85008571246051
"32","30","Mar","1995","The Omni, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-omni-atlanta-ga-2bd600fe.html",1995-03-30,"The Omni","Atlanta","USA","GA","South",33.7583046,-84.394258,20,0.0683604814320949,4.9236575972185e-50,0.0683604814320949,4.14187546339456,0.00660248316498317,5.18127248376867
"33","29","Mar","1995","The Omni, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-omni-atlanta-ga-23d600ff.html",1995-03-29,"The Omni","Atlanta","USA","GA","South",33.7583046,-84.394258,20,0.0683604814320949,1.8115744702518e-47,0.0683604814320949,4.14187546339456,0.00660248316498317,5.18127248376867
"34","27","Mar","1995","The Omni, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-omni-atlanta-ga-33d600f9.html",1995-03-27,"The Omni","Atlanta","USA","GA","South",33.7583046,-84.394258,14,0.00626410786031148,3.6794316824863e-34,0.00626410786031148,6.16751026016407,0.000605008417508519,7.69808309432839
"35","26","Mar","1995","The Omni, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-omni-atlanta-ga-13d6bdf9.html",1995-03-26,"The Omni","Atlanta","USA","GA","South",33.7583046,-84.394258,18,0.0686328339477606,1.00763095560521e-40,0.0686328339477606,4.1385054367758,0.00662878787878788,5.17708529328128
"36","24","Mar","1995","Charlotte Coliseum, Charlotte, NC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/charlotte-coliseum-charlotte-nc-2bd600fa.html",1995-03-24,"Charlotte Coliseum","Charlotte","USA","NC","South",35.203815,-80.794307,18,0.0343164169738803,4.18736337065163e-43,0.0343164169738803,4.72598966175162,0.00662878787878788,5.17708529328128
"37","23","Mar","1995","Charlotte Coliseum, Charlotte, NC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/charlotte-coliseum-charlotte-nc-23d600fb.html",1995-03-23,"Charlotte Coliseum","Charlotte","USA","NC","South",35.203815,-80.794307,18,0.0343164169738803,2.31448877549336e-46,0.0343164169738803,4.72598966175162,0.00662878787878788,5.17708529328128
"38","22","Mar","1995","Charlotte Coliseum, Charlotte, NC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/charlotte-coliseum-charlotte-nc-bd6bdfa.html",1995-03-22,"Charlotte Coliseum","Charlotte","USA","NC","South",35.203815,-80.794307,17,0.0181114422917702,4.65041520657538e-42,0.0181114422917702,5.26764864141821,0.00349852693602694,5.85008571246051
"39","19","Mar","1995","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/corestates-spectrum-philadelphia-pa-3bd600f8.html",1995-03-19,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,17,0.00905572114588508,2.69749000630248e-43,0.00905572114588508,5.85513286639404,0.00349852693602694,5.85008571246051
"40","18","Mar","1995","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/corestates-spectrum-philadelphia-pa-3bd60004.html",1995-03-18,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,17,0.00905572114588508,6.52054516672104e-43,0.00905572114588508,5.85513286639404,0.00349852693602694,5.85008571246051
"41","17","Mar","1995","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/corestates-spectrum-philadelphia-pa-33d60005.html",1995-03-17,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,18,0.0171582084869401,6.60571198068182e-45,0.0171582084869401,5.31347388672745,0.00662878787878788,5.17708529328128
"42","26","Feb","1995","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/oakland-alameda-county-coliseum-arena-oakland-ca-2bd60006.html",1995-02-26,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,18,0.188740293356342,2.10386119021978e-40,0.188740293356342,3.28111238339546,0.00662878787878788,5.17708529328128
"43","25","Feb","1995","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/oakland-alameda-county-coliseum-arena-oakland-ca-23d60007.html",1995-02-25,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,17,0.0996129326047359,4.48877312238349e-39,0.0996129326047359,3.82277136306204,0.00349852693602694,5.85008571246051
"44","24","Feb","1995","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/oakland-alameda-county-coliseum-arena-oakland-ca-1bd6bd04.html",1995-02-24,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,18,0.188740293356342,4.81017096705535e-43,0.188740293356342,3.28111238339546,0.00662878787878788,5.17708529328128
"45","21","Feb","1995","Delta Center, Salt Lake City, UT, USA","http://www.setlist.fm/setlist/grateful-dead/1995/delta-center-salt-lake-city-ut-3bd60000.html",1995-02-21,"Delta Center","Salt Lake City","USA","UT","West",40.7682681,-111.9010874,18,0.00857910424347007,4.54794466052579e-50,0.00857910424347007,5.90095811170327,0.00662878787878788,5.17708529328128
"46","20","Feb","1995","Delta Center, Salt Lake City, UT, USA","http://www.setlist.fm/setlist/grateful-dead/1995/delta-center-salt-lake-city-ut-33d60001.html",1995-02-20,"Delta Center","Salt Lake City","USA","UT","West",40.7682681,-111.9010874,19,0.00977064649950759,1.76059316513874e-42,0.00977064649950759,5.79073020715802,0.00754945286195286,5.04012933252186
"47","19","Feb","1995","Delta Center, Salt Lake City, UT, USA","http://www.setlist.fm/setlist/grateful-dead/1995/delta-center-salt-lake-city-ut-13d6bd05.html",1995-02-19,"Delta Center","Salt Lake City","USA","UT","West",40.7682681,-111.9010874,19,0.00977064649950759,3.36335431171143e-43,0.00977064649950759,5.79073020715802,0.00754945286195286,5.04012933252186
"48","19","Dec","1994","Los Angeles Sports Arena, Los Angeles, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/los-angeles-sports-arena-los-angeles-ca-23d60003.html",1994-12-19,"Los Angeles Sports Arena","Los Angeles","USA","CA","West",34.0140526,-118.2878754,19,0.0227981751655177,4.06736222221678e-47,0.0227981751655177,5.07259394289285,0.00754945286195286,5.04012933252186
"49","18","Dec","1994","Los Angeles Sports Arena, Los Angeles, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/los-angeles-sports-arena-los-angeles-ca-3bd6000c.html",1994-12-18,"Los Angeles Sports Arena","Los Angeles","USA","CA","West",34.0140526,-118.2878754,18,0.0200179099014302,1.91632033244348e-42,0.0200179099014302,5.18282184743811,0.00662878787878788,5.17708529328128
"50","16","Dec","1994","Los Angeles Sports Arena, Los Angeles, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/los-angeles-sports-arena-los-angeles-ca-33d6000d.html",1994-12-16,"Los Angeles Sports Arena","Los Angeles","USA","CA","West",34.0140526,-118.2878754,17,0.0105650080035326,4.6944657558466e-41,0.0105650080035326,5.7244808271047,0.00349852693602694,5.85008571246051
"51","15","Dec","1994","Los Angeles Sports Arena, Los Angeles, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/los-angeles-sports-arena-los-angeles-ca-2bd6000e.html",1994-12-15,"Los Angeles Sports Arena","Los Angeles","USA","CA","West",34.0140526,-118.2878754,16,0.00548109437777255,9.34558016142802e-39,0.00548109437777255,6.28068620447447,0.00181502525252525,6.54115973905564
"52","12","Dec","1994","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/oakland-alameda-county-coliseum-arena-oakland-ca-23d6000f.html",1994-12-12,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,18,0.188740293356342,1.73048249988795e-40,0.188740293356342,3.28111238339546,0.00662878787878788,5.17708529328128
"53","11","Dec","1994","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/oakland-alameda-county-coliseum-arena-oakland-ca-3bd60008.html",1994-12-11,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,19,0.214954222989167,1.63150279469947e-45,0.214954222989167,3.1708844788502,0.00754945286195286,5.04012933252186
"54","9","Dec","1994","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/oakland-alameda-county-coliseum-arena-oakland-ca-33d60009.html",1994-12-09,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,18,0.188740293356342,4.79223312778145e-42,0.188740293356342,3.28111238339546,0.00662878787878788,5.17708529328128
"55","8","Dec","1994","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/oakland-alameda-county-coliseum-arena-oakland-ca-2bd6000a.html",1994-12-08,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,18,0.188740293356342,1.4554979402079e-41,0.188740293356342,3.28111238339546,0.00662878787878788,5.17708529328128
"56","1","Dec","1994","McNichols Sports Arena, Denver, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1994/mcnichols-sports-arena-denver-co-23d6000b.html",1994-12-01,"McNichols Sports Arena","Denver","USA","CO","West",39.739701,-104.989537,18,0.0371761183883703,1.31818506113792e-42,0.0371761183883703,4.65814861817331,0.00662878787878788,5.17708529328128
"57","30","Nov","1994","McNichols Sports Arena, Denver, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1994/mcnichols-sports-arena-denver-co-3bd60014.html",1994-11-30,"McNichols Sports Arena","Denver","USA","CO","West",39.739701,-104.989537,21,0.0330454385674403,9.5555282009085e-50,0.0330454385674403,4.75797687594966,0.00589225589225589,5.3011199014969
"58","29","Nov","1994","McNichols Sports Arena, Denver, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1994/mcnichols-sports-arena-denver-co-33d60015.html",1994-11-29,"McNichols Sports Arena","Denver","USA","CO","West",39.739701,-104.989537,18,0.0371761183883703,6.20773036478767e-43,0.0371761183883703,4.65814861817331,0.00662878787878788,5.17708529328128
"59","19","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-2bd60016.html",1994-10-19,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,17,0.0784829165976707,2.72258760678334e-39,0.0784829165976707,4.02483914788825,0.00349852693602694,5.85008571246051
"60","18","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-23d60017.html",1994-10-18,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,19,0.169357872658132,6.54311809441195e-45,0.169357872658132,3.37295226367641,0.00754945286195286,5.04012933252186
"61","17","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-3bd60010.html",1994-10-17,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,17,0.0784829165976707,2.83239844557073e-40,0.0784829165976707,4.02483914788825,0.00349852693602694,5.85008571246051
"62","15","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-33d60011.html",1994-10-15,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,18,0.148704473553481,3.34747668097189e-45,0.148704473553481,3.48318016822166,0.00662878787878788,5.17708529328128
"63","14","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-2bd60012.html",1994-10-14,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,18,0.148704473553481,8.06765637232708e-42,0.148704473553481,3.48318016822166,0.00662878787878788,5.17708529328128
"64","13","Oct","1994","Madison Square Garden, New York, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1994/madison-square-garden-new-york-ny-23d60013.html",1994-10-13,"Madison Square Garden","New York","USA","NY","Northeast",40.7505045,-73.9934387,18,0.148704473553481,1.29934724839526e-39,0.148704473553481,3.48318016822166,0.00662878787878788,5.17708529328128
"65","11","Oct","1994","USAir Arena, Landover, MD, USA","http://www.setlist.fm/setlist/grateful-dead/1994/usair-arena-landover-md-3bd6001c.html",1994-10-11,"USAir Arena","Landover","USA","MD","South",38.9340002,-76.8966397,17,0.00452786057294254,1.42524798655512e-43,0.00452786057294254,6.44261709136986,0.00349852693602694,5.85008571246051
"66","10","Oct","1994","USAir Arena, Landover, MD, USA","http://www.setlist.fm/setlist/grateful-dead/1994/usair-arena-landover-md-33d6001d.html",1994-10-10,"USAir Arena","Landover","USA","MD","South",38.9340002,-76.8966397,17,0.00452786057294254,1.5982464216685e-41,0.00452786057294254,6.44261709136986,0.00349852693602694,5.85008571246051
"67","9","Oct","1994","USAir Arena, Landover, MD, USA","http://www.setlist.fm/setlist/grateful-dead/1994/usair-arena-landover-md-2bd6001e.html",1994-10-09,"USAir Arena","Landover","USA","MD","South",38.9340002,-76.8966397,21,0.00762587043864007,1.5535870287175e-50,0.00762587043864007,6.00078636947963,0.00589225589225589,5.3011199014969
"68","7","Oct","1994","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/corestates-spectrum-philadelphia-pa-23d6001f.html",1994-10-07,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,17,0.00905572114588508,5.94880246660345e-42,0.00905572114588508,5.85513286639404,0.00349852693602694,5.85008571246051
"69","6","Oct","1994","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/corestates-spectrum-philadelphia-pa-3bd60018.html",1994-10-06,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,19,0.0195412929990152,1.47547213816015e-43,0.0195412929990152,5.2032459821822,0.00754945286195286,5.04012933252186
"70","5","Oct","1994","CoreStates Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/corestates-spectrum-philadelphia-pa-33d60019.html",1994-10-05,"CoreStates Spectrum","Philadelphia","USA","PA","Northeast",39.9525839,-75.1652215,18,0.0171582084869401,1.60815954907487e-42,0.0171582084869401,5.31347388672745,0.00662878787878788,5.17708529328128
"71","3","Oct","1994","Boston Garden, Boston, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/boston-garden-boston-ma-2bd6001a.html",1994-10-03,"Boston Garden","Boston","USA","MA","Northeast",42.366198,-71.062146,19,0.0781651719960607,3.32434863789398e-44,0.0781651719960607,4.02827753223055,0.00754945286195286,5.04012933252186
"72","2","Oct","1994","Boston Garden, Boston, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/boston-garden-boston-ma-23d6001b.html",1994-10-02,"Boston Garden","Boston","USA","MA","Northeast",42.366198,-71.062146,22,0.0403081723185261,6.59646753284538e-52,0.0403081723185261,4.58959142704248,0.00389309764309764,5.73755058958675
"73","1","Oct","1994","Boston Garden, Boston, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/boston-garden-boston-ma-3bd60024.html",1994-10-01,"Boston Garden","Boston","USA","MA","Northeast",42.366198,-71.062146,21,0.0610069635091205,1.96404823439886e-48,0.0610069635091205,4.23833369455215,0.00589225589225589,5.3011199014969
"74","29","Sep","1994","Boston Garden, Boston, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1994/boston-garden-boston-ma-33d60025.html",1994-09-29,"Boston Garden","Boston","USA","MA","Northeast",42.366198,-71.062146,18,0.0686328339477606,2.1227700314107e-39,0.0686328339477606,4.1385054367758,0.00662878787878788,5.17708529328128
