feature,outlier,Train_Score,Test_Score
50,90,0.731694828,0.79799632
50,95,0.704615385,0.768145574
55,5,0.85498693,0.829687181
55,10,0.853217273,0.830402781
55,15,0.851510497,0.829380495
55,20,0.846166155,0.830198323
55,25,0.842157365,0.829584952
55,30,0.843500841,0.827233695
55,35,0.844657135,0.824064608
55,40,0.845195426,0.819055408
55,45,0.834054834,0.822940094
55,50,0.837882124,0.819771008
55,55,0.836035729,0.812308321
55,60,0.828553137,0.814864036
55,65,0.8142784,0.809752607
55,70,0.810291859,0.808219178
55,75,0.785692323,0.805867921
55,80,0.769299706,0.801165406
55,85,0.760880696,0.805561235
55,90,0.768561188,0.803925578
55,95,0.720430108,0.79942752
60,5,0.854555744,0.829687181
60,10,0.852648347,0.830198323
60,15,0.851209301,0.827744837
60,20,0.847766257,0.830096095
60,25,0.843761734,0.828051523
60,30,0.843903153,0.820793294
60,35,0.84142739,0.826620323
60,40,0.842123229,0.820691065
60,45,0.839780291,0.818135351
60,50,0.842447517,0.81670415
60,55,0.829834443,0.811286036
60,60,0.823220686,0.815068493
60,65,0.842702386,0.802903292
60,70,0.793821471,0.809650378
60,75,0.804301075,0.797894091
60,80,0.779229095,0.802187692
60,85,0.803550094,0.792987119
60,90,0.761733778,0.794929462
60,95,0.724385246,0.771723574
65,5,0.855525912,0.82897158
65,10,0.853131934,0.828869352
65,15,0.852956236,0.828869352
65,20,0.85266257,0.828051523
65,25,0.847950022,0.823451237
65,30,0.840977251,0.823349008
65,35,0.842018197,0.82109998
65,40,0.836085862,0.820997751
65,45,0.842107713,0.81598855
65,50,0.842549923,0.812921693
65,55,0.832897132,0.812103864
65,60,0.833269329,0.811797178
65,65,0.822711641,0.803516663
65,70,0.809954751,0.808934778
65,75,0.789430561,0.811388264
65,80,0.779129321,0.797689634
65,85,0.766917293,0.805561235
65,90,0.7578085,0.79728072
65,95,0.722478239,0.788080147
70,5,0.855094726,0.829891638
70,10,0.853729305,0.829584952
70,15,0.8484383,0.827642609
70,20,0.852136342,0.827438152
70,25,0.848028674,0.82754038
70,30,0.846755907,0.824575751
70,35,0.840160706,0.825291351
70,40,0.840288445,0.820282151
70,45,0.845924685,0.815784093
70,50,0.845401475,0.812512779
70,55,0.836490869,0.812103864
70,60,0.831349206,0.805050092
70,65,0.818886694,0.81026375
70,70,0.804711506,0.805867921
70,75,0.786497285,0.808014721
70,80,0.772273425,0.810059293
70,85,0.76702509,0.795236148
70,90,0.780081925,0.798200777
70,95,0.712673166,0.784911061
75,5,0.855687606,0.828358209
75,10,0.854412016,0.829176038
75,15,0.852655041,0.826722552
75,20,0.84719022,0.827949295
75,25,0.847550777,0.82897158
75,30,0.842988808,0.823349008
75,35,0.850328883,0.818544265
75,40,0.849547704,0.819259865
75,45,0.846827133,0.816295236
75,50,0.83671275,0.813535064
75,55,0.841308677,0.813330607
75,60,0.842613927,0.807299121
75,65,0.82911485,0.813023921
75,70,0.813518819,0.803209978
75,75,0.802252944,0.808321407
75,80,0.772273425,0.80300552
75,85,0.78090847,0.802801063
75,90,0.754997437,0.797791863
75,95,0.741803279,0.786342261
80,5,0.855741504,0.829176038
80,10,0.854355123,0.829687181
80,15,0.852956236,0.830198323
80,20,0.846646185,0.830505009
80,25,0.848608978,0.827335923
80,30,0.847706825,0.826518094
80,35,0.856591437,0.815170722
80,40,0.839349718,0.826211409
80,45,0.844295489,0.819055408
80,50,0.8421915,0.818237579
80,55,0.837391898,0.819873237
80,60,0.836853559,0.808934778
80,65,0.826176019,0.809037007
80,70,0.81597815,0.811899407
80,75,0.796190086,0.801165406
80,80,0.772087068,0.811388264
80,85,0.758832565,0.795440605
80,90,0.773937532,0.795440605
80,95,0.73025641,0.77203026
85,5,0.858652006,0.82897158
85,10,0.85529385,0.829176038
85,15,0.85268516,0.827949295
85,20,0.852854583,0.828460438
85,25,0.846384925,0.829687181
85,30,0.85125448,0.827642609
85,35,0.852140691,0.823860151
85,40,0.84348865,0.823451237
85,45,0.841642229,0.821406665
85,50,0.846902202,0.820282151
85,55,0.837571827,0.817215293
85,60,0.829301075,0.812103864
85,65,0.832199546,0.80883255
85,70,0.81240932,0.814046207
85,75,0.8062468,0.812717236
85,80,0.793394777,0.794418319
85,85,0.78187404,0.791658148
85,90,0.766769073,0.776221632
85,95,0.763952893,0.763647516
90,5,0.859164039,0.829584952
90,10,0.855663651,0.829073809
90,15,0.856359748,0.827642609
90,20,0.849718382,0.829380495
90,25,0.847516641,0.829687181
90,30,0.845475825,0.828562666
90,35,0.844538974,0.827744837
90,40,0.844000683,0.827233695
90,45,0.847786622,0.822020037
90,50,0.847158218,0.822428951
90,55,0.845650566,0.820486608
90,60,0.84594214,0.817521979
90,65,0.839075415,0.820282151
90,70,0.832565284,0.81598855
90,75,0.800676022,0.808014721
90,80,0.786738351,0.801983235
90,85,0.765579648,0.788897976
90,90,0.75506021,0.77775506
90,95,0.728110599,0.763851973
95,5,0.857304552,0.828664895
95,10,0.857512659,0.829891638
95,15,0.855124846,0.830300552
95,20,0.850902458,0.830300552
95,25,0.847619048,0.828460438
95,30,0.849133202,0.828153752
95,35,0.845720588,0.826927009
95,40,0.843701997,0.82324678
95,45,0.848484848,0.824166837
95,50,0.847567844,0.823144551
95,55,0.844000683,0.820588837
95,60,0.840245776,0.820486608
95,65,0.830663448,0.818953179
95,70,0.841440519,0.809445921
95,75,0.81843318,0.816601922
95,80,0.799385482,0.80300552
95,85,0.781362007,0.791964833
95,90,0.75140809,0.763136373
95,95,0.728622632,0.759149458
100,5,0.858059126,0.828767123
100,10,0.856858394,0.829380495
100,15,0.855064606,0.829278266
100,20,0.85109447,0.830709466
100,25,0.846731524,0.828358209
100,30,0.848621169,0.825291351
100,35,0.85036827,0.823451237
100,40,0.850614439,0.822940094
100,45,0.842154262,0.82324678
100,50,0.847721454,0.822428951
100,55,0.837685612,0.820486608
100,60,0.838005632,0.816908608
100,65,0.840538366,0.809650378
100,70,0.825311487,0.809854835
100,75,0.818228367,0.806583521
100,80,0.775345622,0.801881006
100,85,0.763782215,0.777346146
100,90,0.735979513,0.769372316
100,95,0.739887353,0.742895113
